Site,Year,Depth_HMRG_5m,CommCatch,NCCatch,Effluent,Golf 
221,2014,-8.442259789,0.174301884,16.73374367,19.02387428,0
222,2014,-5.576260567,0.174301884,2.661429405,10.62455845,12.74507046
223,2014,-5.944869041,0.174301884,5.749979973,12.3646698,11.42087746
224,2014,-4.687015533,0.174301884,20.04037094,2.428128242,18.23265839
225,2014,-2.843670368,0.174301884,28.63332939,29.59148216,19.81422043
226,2014,-2.861831903,0.174301884,28.63038826,26.05269623,31.98690414
227,2014,-2.482448339,0.174301884,25.36145592,16.1438427,34.57660294
228,2014,-3.795249701,0.174301884,2.481276989,12.26099873,24.81969261
229,2014,-5.705002785,0.174301884,25.43148422,8.227769852,18.89653015
230,2014,-6.862636089,0.174301884,5.758863926,2.143828392,43.79301453
231,2014,-3.989512444,0.174301884,20.07044601,3.859105349,42.33250046
232,2014,-4.889643192,0.174301884,5.76117754,0.704161406,34.6892128
233,2014,-5.062939644,0.174301884,5.77248621,0.533203602,44.87117004
234,2014,-1.869241357,0.174301884,3.251420021,0.436746478,6.680802822
235,2014,-3.573873997,0.174301884,3.743304253,0.104925618,2.261242867
236,2014,-4.451853752,0.174301884,16.95115089,0.752976656,0.039282653
237,2014,-5.049977303,0.174301884,25.28525734,0.008778783,0
238,2014,-4.536026955,0.174301884,3.495284319,1.506496787,0.022349734
239,2014,-4.567547798,0.174301884,28.67490005,2.574217081,84.26172638
240,2014,-5.113001347,0.174301884,18.94699669,0,13.50738239
241,2014,-4.934589863,0.174301884,10.32895184,0,0
242,2014,-5.189707279,0.174301884,10.87984371,0,0
243,2014,-4.492878914,0.174301884,3.318583727,0.057636816,0.21112746
244,2014,-3.906453848,0.174301884,6.740911484,0.407473713,5.594773293
245,2014,-4.675490379,0.174301884,16.8443985,1.159632206,16.08752441
246,2014,-5.637950897,0.174301884,28.71220779,0.896736264,10.96114731
247,2014,-5.040229321,0.859468295,25.63832283,0.064193755,8.292537689
248,2014,-6.107820034,0.859468295,28.75585365,0.280562758,23.41022873
249,2014,-6.754896164,0.859468295,28.7836628,1.374156475,26.25333977
250,2014,-5.84551239,0.859468295,2.798497915,6.648666859,7.642856598
251,2014,-8.353729248,0.859468295,2.79150033,6.000494957,0.658279896
252,2014,-7.662026405,0,3.929132938,1.09341E-05,0
253,2014,-6.055805683,0.816792709,26.12976837,5.525508881,0
254,2014,-6.828840256,0.859468295,20.2240181,76.46353912,0
255,2014,-8.043709755,0.859468295,20.21075058,34.75447464,8.106420517
256,2014,-3.457009077,0.859468295,28.77684784,19.70123291,19.1833725
257,2014,-5.957417488,0.859468295,28.78247452,16.41017342,35.81047821
258,2014,-9.459957123,0.859468295,25.65846634,0.74986279,23.83153534
259,2014,-9.925061226,0.859468295,19.0167923,2.598562956,17.81011963
260,2014,-7.899446011,0.859468295,8.716891289,0.431345075,0.364829332
261,2014,-3.859692335,0.859468295,25.55553436,12.41089153,0
262,2014,-8.092556953,0.859468295,28.73313332,3.471696615,0
263,2014,-5.862790108,0.859468295,3.451519012,0.153999284,0
264,2014,-10.88484287,0.859468295,20.16306877,15.7218895,0
265,2014,-1.862637639,0.859468295,12.51664448,6.197593212,0
266,2014,-7.501437664,0.859468295,11.564188,4.681657791,0
267,2014,-4.850333691,0.859468295,20.11110306,8.102097511,0
268,2014,,0,3.681530476,5.087213516,0
269,2014,-8.247795105,0.859468295,17.96027374,31.50127411,0
270,2014,-11.2587738,0.859468295,2.223922968,7.384189129,0
271,2014,-11.15247917,0.859468295,8.20900631,5.418540478,0
272,2014,-5.297340393,0.859468295,6.407844543,0,0
273,2014,-4.998994827,1.647271321,9.527770996,0.624966741,0
274,2014,-5.03539896,1.647271321,11.39962101,0.140636861,0
275,2014,-5.885083675,1.647271321,3.031887054,0,0
276,2014,-6.551572323,1.647271321,4.163765907,0,0
277,2014,-5.754091263,1.647271321,25.42464828,0,0
73,2018,-3.580267906,0.018145605,0,0.105173036,0
74,2018,-3.103854418,0.018145605,9.601143837,0.389756978,0
75,2018,-4.350906372,0.018145605,3.3887918,0.187368184,0
76,2018,-6.869634151,0.018145605,25.35791016,0.097568236,0
77,2018,-5.010658264,0.018145605,10.31294823,0.049833838,0
78,2018,-3.430415154,0.746043231,17.92268372,4.292644978,0
79,2018,-4.952789307,0.746043231,15.99090576,28.13605309,0
80,2018,-4.921619415,0.746043231,15.94496536,23.30594826,0
81,2018,-4.124722004,0.746043231,20.07775688,6.640478611,0
82,2018,-2.481253386,0.746043231,28.61881638,7.880050182,0
83,2018,-2.780786514,0.746043231,28.65265846,12.42350674,44.75341034
84,2018,-5.836980343,0.746043231,16.9381218,11.76368809,49.52482986
85,2018,-4.071819782,0.746043231,28.64893723,6.047836304,10.63107872
86,2018,-3.981297016,0.746043231,22.92492485,23.69348335,2.263738632
87,2018,-11.67338276,0.746043231,2.143096447,9.511135101,18.34191704
88,2018,-5.179346085,0.746043231,2.654684544,1.999624968,47.63997269
89,2018,-3.300602198,0.746043231,20.09609604,4.510258675,46.39379883
90,2018,-4.611433029,0.746043231,28.64051819,1.210464835,43.4186058
91,2018,-4.909920692,0.746043231,20.07331276,0.185327992,1.745720029
92,2018,-5.209690094,0.746043231,28.62529564,0.325652689,4.069125175
93,2018,-6.63808918,0.746043231,3.683287144,0.298372805,5.051940918
94,2018,-4.971516609,0.746043231,3.703668356,0.117532857,0.944305122
95,2018,-5.23967886,0.746043231,28.6545639,0.033264536,0
96,2018,-4.251025677,0.746043231,20.07635498,0.892870128,0.216866106
97,2018,-4.667795658,0,3.534038544,1.125743032,0
98,2018,-4.721826077,0,25.32899666,2.503837824,74.74295807
99,2018,-5.566283226,0.746043231,28.69041252,0.279682338,53.5650444
100,2018,-4.383448124,0.746043231,17.98246193,0,7.41689682
101,2018,-3.717477083,0.746043231,10.86383343,0.038898677,0
102,2018,-4.234990597,0.746043231,10.87674904,0.135817036,0
103,2018,-2.871803284,0.746043231,4.812848091,0,0
104,2018,-3.763842106,0.746043231,28.75181961,1.096276402,15.78938484
105,2018,-4.596622944,0.497460742,28.76886177,0.378169775,4.83754015
106,2018,-8.315652847,0.497460742,11.32936478,0.018778536,20.58282852
107,2018,-6.723278999,0.497460742,28.76096725,8.117720604,19.31380844
108,2018,-7.210206985,0.497460742,3.372891665,3.800770044,0
109,2018,-7.115216732,0.497460742,3.650981903,0.344611585,0
110,2018,-6.713760853,0.497460742,28.79624176,0.489092171,0
111,2018,-5.70048666,0.497460742,26.13054085,74.61113739,0
112,2018,-4.996191025,0.497460742,20.20183563,132.4431305,0
113,2018,-5.603089809,0.497460742,28.80059052,223.6221313,0
114,2018,-4.582992554,0.497460742,20.22771072,93.94989014,0
115,2018,-5.830897331,0.497460742,25.65896988,20.20710182,13.99599743
116,2018,-5.842468739,0.497460742,28.77694893,16.74473,21.07604408
117,2018,,0.497460742,11.6528492,3.68767333,1.774463773
118,2018,-8.981817245,0.497460742,25.5931015,0.560066938,20.3909359
119,2018,-6.406133175,0.497460742,19.05957794,2.475193501,22.62262344
120,2018,-6.052672386,0.497460742,11.58106613,0.087956116,0.668182671
121,2018,-8.759899139,0,0,29.9955349,0
122,2018,-4.669417858,0.497460742,26.09771156,58.46928406,0
123,2018,-9.855542183,0.497460742,25.62744141,3.878232479,0
124,2018,-4.492722988,0.497460742,28.75438118,0.563107073,0
125,2018,-6.257141113,0.497460742,16.93058395,14.54766083,0
126,2018,,0.497460742,3.68304944,5.594128132,0
127,2018,,0.497460742,9.413347244,1.869969964,0
128,2018,-5.794465065,0.497460742,20.1211338,11.86506939,0
129,2018,-8.004582405,0.497460742,14.40210152,2.817346811,0
130,2018,-6.095322609,0.497460742,28.71805,17.96255875,0
131,2018,-14.47809505,0.497460742,15.86168671,24.89360619,0
132,2018,-11.61397648,0.497460742,2.389575243,14.79079819,0
133,2018,-8.145795822,0.497460742,4.190594196,6.046524525,0
134,2018,-5.189003944,0.497460742,7.226383686,0.087817118,0
135,2018,-5.939507961,0.497460742,2.071804285,0,0
136,2018,-4.568847179,0.497460742,17.91786003,20.78139305,0
137,2018,-6.420622349,0.497460742,18.89661598,17.92168045,0
138,2018,-4.301803112,0.299292288,28.56699753,5.538244247,0
139,2018,-4.258865356,0.299292288,10.29748726,0.838366866,0
140,2018,-8.76715374,0.299292288,4.152997017,0.052936401,0
141,2018,-4.332082748,0.299292288,12.16283417,0.172366634,0
142,2018,-4.861311436,0.299292288,10.74289989,0.104865752,0
143,2018,-10.92573166,0.299292288,1.6938411,0,0
144,2018,-7.240028381,0.299292288,18.8503933,0,0
